"hairclinic.ingredients.biotin"|"hairclinic"|"Biotin"|"A biotin a természetes hajnövekedési folyamat egyik fő komponense. Hozzájárul a haj normál állapotának fenntartásához, és számos létfontosságú anyagcsere-folyamatban is részt vesz."
"hairclinic.ingredients.b5"|"hairclinic"|"B<sub>5</sub>-vitamin"|"A B<sub>5</sub>-vitamin (más néven pantoténsav) részt vesz a többek között a hajképzésben is szerepet játszó sejtek normál energiatermelő anyagcsere-folyamataiban."
"hairclinic.ingredients.amino"|"hairclinic"|"Aminosavak (cisztin és metionin)"|"A hajszálak főként keratin nevű fehérjemolekulákból épülnek fel, ezek építőelemei az aminosavak (pl. a cisztin és a metionin). A metionin ún. esszenciális aminosav, ez azt jelenti, hogy az emberi szervezet nem vagy nem elegendő mennyiségben képes előállítani, ezért elsősorban táplálkozás útján tudjuk bevinni."
"hairclinic.ingredients.cink"|"hairclinic"|"Cink"|"A cink az ásványi anyagok közül a legfontosabb olyan elem, amely hozzájárul a haj egészségének megőrzéséhez."
"hairclinic.dosage"|"hairclinic"|"Adagolás"|"Naponta 2x1 kapszula, reggel és este, bő folyadékkal egészben bevéve. Javasolt 3 hónapos kúrát tartani, hiszen idő kell ahhoz, hogy a belső folyamatok kívülről is látványosak legyenek. A 3 hónapos kúra 2 doboz 90 darabos HairClinic® kiszerelésnek felel meg."
"hairclinic_extra.description"|"hairclinic_extra"|"Leírás"|"A HairClinic® Extra retard tabletta a hajgyökereket olyan ásványi anyagokkal és vitaminokkal táplálja, amelyek hozzájárulnak az egészséges hajszerkezet megőrzéséhez. A retard filmtabletta különlegessége, hogy a benne lévő tápanyagmennyiséget több órán keresztül, elnyújtva juttatja a véráramba. Ezáltal folyamatosan ellátja a sejteket tápanyagokkal"
"hairclinic_extra.ingredients.kova"|"hairclinic_extra"|"Kovaföld"|"A kovaföld olyan természetes anyag, amely számos ásványi anyagot és nyomelemet tartalmaz, közöttük is kiemelkedő mennyiségű szilíciumot. A szilícium a szervezet számára nélkülözhetetlen esszenciális nyomelem, ami fiziológiás körülmények között a bõrben és a csontban halmozódik."
"hairclinic_extra.ingredients.granat"|"hairclinic_extra"|"Gránátalma-kivonat"|"A gránátalma magas antioxidáns-, polifenol- és flavonoidtartalmú gyümölcs."
"hairclinic_extra.ingredients.biotin"|"hairclinic_extra"|"Biotin"|"A biotin a természetes hajnövekedési folyamat egyik fő komponense. Hozzájárul a haj normál állapotának fenntartásához."
"hairclinic_extra.ingredients.cink"|"hairclinic_extra"|"Cink"|"A cink az ásványi anyagok közül a legfontosabb olyan elem, amely hozzájárul a haj normál állapotának fenntartásához."
"hairclinic_extra.ingredients.rez"|"hairclinic_extra"|"Réz"|"A réz hozzájárul a haj normál pigmentációjához."
"hairclinic_extra.ingredients.a"|"hairclinic_extra"|"A vitamin"|"Az A-vitamin hozzájárul a bőr normál állapotának fenntartásához."
"hairclinic_extra.dosage"|"hairclinic_extra"|"Adagolás"|"Naponta 1-2 tabletta bevétele javasolt, bő folyadékkal, egészben lenyelve."
"hairclinic_men.description"|"hairclinic_men"|"Leírás"|""
"hairclinic_men.ingredients.biotin"|"hairclinic_men"|"Biotin"|"A biotin a természetes hajnövekedési folyamat egyik fő komponense. Hozzájárul a haj normál állapotának fenntartásához, és számos létfontosságú anyagcsere-folyamatban is részt vesz."
"hairclinic_men.ingredients.b5"|"hairclinic_men"|"B<sub>5</sub>-vitamin"|"A B<sub>5</sub>-vitamin (más néven pantoténsav) részt vesz a többek között a hajképzésben is szerepet játszó sejtek normál energiatermelő anyagcsere-folyamataiban."
"hairclinic_men.ingredients.cink"|"hairclinic_men"|"Cink"|"A cink hozzájárul a haj normál állapotának fenntartásához."
"hairclinic_men.ingredients.rez"|"hairclinic_men"|"Réz"|"A réz hozzájárul a haj normál pigmentációjához."
"hairclinic_men.ingredients.szabal"|"hairclinic_men"|"Szabalpálma"|"Támogatja a hajnövekedést, segít fenntartani az egészséges hajszerkezetet."
"hairclinic_men.ingredients.szelen"|"hairclinic_men"|"Szelén"|"Hozzájárul a haj normál állapotának fenntartásához."
"hairclinic_men.ingredients.koffein"|"hairclinic_men"|"Koffein és hialuronsav"|""
"hairclinic_men.dosage"|"hairclinic_men"|"Adagolás"|"Naponta 2x1 kapszula étkezés közben vagy után bő folyadékkal egészben bevéve. Javasolt 3 hónapos kúrát tartani, hiszen idő kell ahhoz, hogy a belső folyamatok kívülről is látványosak legyenek. A 3 hónapos kúra 3 doboz 60 darabos HairClinic® Men kiszerelésnek felel meg"
"good_to_know.description"|"good_to_know"|"Leírás"|"A hajképző folyamat központja a fejbőr alatt található hajgyökér, amely a hajszálak növekedéséért és rögzítéséért felelős. A hajgyökeret rugalmas szövetek veszik körül (ún. kollagén-burok). A hajszálerek, amelyek a hajképzéshez szükséges tápanyagokat szállítják, e szöveteken keresztül jutnak be a hajgyökérbe. Fontos, hogy a hajgyökereknek rendelkezésükre álljanak a szép és egészséges hajszálakhoz szükséges minőségű és mennyiségű tápanyagok. A hajproblémák megelőzéséhez vagy megszüntetéséhez fontos tudnod, hogyan tápláld és kezeld megfelelően a hajad."
"good_to_know.questions.q1"|"good_to_know"|"Száraz, töredezett haj esetén mi a teendő?"|"A teljesen elhalt hajvégeken már nem lehet segíteni, néhány centis egészségügyi vágásra van szükség. Nagyobb hangsúlyt kell fektetni a megelőzésre, ajánlott a balzsam és hajpakolás gyakori használata. Utóbbira nem kell feltétlenül sok pénzt kiadni, hisz a töredezett haj kezelése otthon is lehetséges: olívaolaj, méz és tojássárgájának keverékét kend a hajadra, majd tekerd be törölközővel, mert a melegben a tápanyagok jobban beépülnek a hajszálakba. Ezt a természetes balzsamot hagyd a hajadon legalább egy fél órán-órán keresztül, vagy akár egész éjszakára - ezzel is segítheted a hajerősítést. Emellett keresd azokat a termékeket, amelyek hozzájárulnak az egészséges hajszerkezet megőrzéséhez"
"good_to_know.questions.q2"|"good_to_know"|"A Hajhullás természetes folyamat? Mit tanácsolsz a kezelésére?"|"Naponta körülbelül 50-80 hajszál hullik ki. Ez természetes folyamat: amikor a hajszál elöregszik, újabbnak adja át a helyét. Túlzott mértékű hajhullásról akkor beszélünk, ha hosszabb időn keresztül napi 100 szál felett van a kihullott haj mennyisége. A hajképző folyamat központja a fejbőr alatt található hajgyökér, amely a hajszálak növekedéséért és rögzítéséért felelős. A hajgyökeret rugalmas szövetek veszik körül (ez az ún. kollagénburok). A hajszálerek, amelyek a hajképzéshez szükséges tápanyagokat szállítják, e szöveteken keresztül jutnak be a hajgyökérbe. A legújabb kutatások szerint a hajhullás okai közül az egyik leggyakoribb a hajgyökeret körülvevő szövetek megkeményedése. Ha ezek a szövetek megszilárdulnak, a hajhullás kezdeti tünetei jelentkezhetnek. A szövetek megkeményedése ugyanis gátolja a vérkeringést, amitől a hajgyökér tápanyag-ellátottsága károsodik. Ennek hatására a hajgyökér elgyengül, deformálódik, és elengedi a hajszálat. Ez a hajszálak idő előtti elvesztéséhez, hosszabb távon kopaszodáshoz vezethet, azonban a hajhullás oka más is lehet. A hajhullás leggyakrabban tápanyaghiányra vezethető vissza - így megfelelő táplálkozással, szükség esetén étrend-kiegészítők használatával megőrizhető a haj és a fejbőr megfelelő állapota -, de emellett több más okból is előfordulhat. Ezen okok közé sorolható például a stressz vagy a hormonális változások. Fontos, hogy ha kerülni nem is sikerül a fokozott testi-lelki igénybevételt, gondoskodjunk a megfelelő vitaminok és ásványi anyagok beviteléről. A fogyókúra, az egyoldalú táplálkozás vagy nem megfelelő étrend is nyomot hagy a hajon. De a terhesség alatt is gyakran jelentkezik hajhullás. Sok nő szándékosan vágatja ilyenkor rövidebbre a haját. A vitaminok és ásványi anyagok mellett hasznos lehet a búzacsíraolaj bevitele is, amely többszörösen telítetlen zsírsavakat tartalmaz. Szintén káros lehet, ha a hajad és a fejbőröd számára megterhelő a frizurád. A szorosra húzott lófarok vagy a hajhosszabbítás folyamatosan feszíti a haj gyökerét, amitől az elgyengülhet, kikophat, így ezek tartós alkalmazása nem ajánlott."
